Timestamp (ns),raw,QUAT W,QUAT X,QUAT Y,QUAT Z,ACCEL X,ACCEL Y,ACCEL Z,GYRO X,GYRO Y,GYRO Z
1599834797970996228,c9f403710a8cdf91fefeff44f20dff2f01f6ff5a,-13836,881,2700,-8303,-258,-188,-3571,-209,502,-166
1599834798057948680,c9ee03810a82df98feeeff8af1d6ff6501b5ff74,-13842,897,2690,-8296,-274,-118,-3626,-155,437,-140
1599834798102823017,c9c103b70a4adfd9ff43ffd3f302001c00d8ff40,-13887,951,2634,-8231,-189,-45,-3326,28,216,-192
1599834798105949896,c9bc03ba0a44dfe0ff88ffc6f312001e00beff50,-13892,954,2628,-8224,-120,-58,-3310,30,190,-176
1599834798107027139,c9b703bd0a40dfe6ffb1ffb8f2e50008009cff61,-13897,957,2624,-8218,-79,-72,-3355,8,156,-159
1599834798108954779,c9ad03a90a7ae008ff930053f37e0004fe66ff79,-13907,937,2682,-8184,-109,83,-3202,4,-410,-135
1599834798147983089,c9ae039e0a8de00cff880060f35d000cfe34ff77,-13906,926,2701,-8180,-120,96,-3235,12,-460,-137
1599834798153713063,c9b9032c0b3ee029ff55ff90f393ffe5fdc3ff71,-13895,812,2878,-8151,-171,-112,-3181,-27,-573,-143
1599834798155298007,c9bb03210b55e02cff57ff92f3a6ffd2fdcfff86,-13893,801,2901,-8148,-169,-110,-3162,-46,-561,-122
1599834798193078788,c9e402af0c3be031ff4fff1cf403000afc650001,-13852,687,3131,-8143,-177,-228,-3069,10,-923,1
1599834798194441756,c9ed029b0c62e02fff76ff1af3e9fff8fc1b000e,-13843,667,3170,-8145,-138,-230,-3095,-8,-997,14
1599834798237940873,ca4d01d60df5e026fd9cfe93f159002bfaceffbc,-13747,470,3573,-8154,-612,-365,-3751,43,-1330,-68
1599834798238945904,ca5801b80e25e027fd91fe55f1830036fafcffaa,-13736,440,3621,-8153,-623,-427,-3709,54,-1284,-86
1599834798327938897,cab900820fe1e04bfe6efe2bf23d0150f85dfee7,-13639,130,4065,-8117,-402,-469,-3523,336,-1955,-281
1599834798329341614,cacb0042102ce052fe51fddef2530184f751fec2,-13621,66,4140,-8110,-431,-546,-3501,388,-2223,-318
1599834798331420956,cb9ffd84134be0c9fb31fc16f2fe0280f3f4fd51,-13409,-636,4939,-7991,-1231,-1002,-3330,640,-3084,-687
1599834798333358384,cbbafd2613a8e0dffb35fbd0f2db028af466fd31,-13382,-730,5032,-7969,-1227,-1072,-3365,650,-2970,-719
1599834798372874766,cc42fa8a15f3e1e1fa81f961f1d1024cf78bfb37,-13246,-1398,5619,-7711,-1407,-1695,-3631,588,-2165,-1225
1599834798374402851,cc4dfa371634e20efa8ff874f181024bf755faf1,-13235,-1481,5684,-7666,-1393,-1932,-3711,587,-2219,-1295
1599834798462866298,cd15f72a1900e3b5f7c7f7abeed40157f2bafa31,-13035,-2262,6400,-7243,-2105,-2133,-4396,343,-3398,-1487
1599834798470168370,cd34f6c81968e3fbf71cf840ee1c0117f30bf9d3,-13004,-2360,6504,-7173,-2276,-1984,-4580,279,-3317,-1581
1599834798471162152,cd75f3e51b40e674f535f525e7b00206fb21f650,-12939,-3099,6976,-6540,-2763,-2779,-6224,518,-1247,-2480
1599834798473126737,cd65f3941b4ee6cbf54cf4d7e77e01e4fbdef60a,-12955,-3180,6990,-6453,-2740,-2857,-6274,484,-1058,-2550
1599834798508246819,cc81f1701b1fe9b7f7c7faf0df010105ffd0f45a,-13183,-3728,6943,-5705,-2105,-1296,-8447,261,-48,-2982
1599834798643001753,cc58f12a1affea1ff764fb41de50015a008df3ca,-13224,-3798,6911,-5601,-2204,-1215,-8624,346,141,-3126
1599834798651815154,e2f8bb0102e0be00d10d7af17bc826ee3d1457f0,-7432,-17663,736,-16896,-12019,31473,31688,9966,15636,22512
1599834798652793457,43f8880141e15c01110e23f163c7d2ee21139af0,17400,-30719,16865,23553,4366,9201,25543,-11538,8467,-25872
1599834798654162109,3b0627e85c01201505f477c55dedee0c6ef2b3f9,15110,10216,23553,8213,1524,30661,24045,-4596,28402,-19463
